Order #,Time,Server,Item,Modifiers,Price,Qty,Tax,Total,Payment Type,Parsed Time,Hour,Cluster
4,"5/1/25, 8:39 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Matcha, Vanilla, 1/3 Sweet, Iced",9.0,1,9.0,0.88,Mastercard 3139,2025-05-01 08:39:00,8,2
5,"5/1/25, 8:42 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Cin Sug. Bagel, Plain CC",8.0,1,8.0,0.78,Visa 6469,2025-05-01 08:42:00,8,2
6,"5/1/25, 8:43 AM","(5/1/25, 8:36 AM - 8:37 AM)",Iced Shaken Espresso,"Iced, Spl Almond, Cold foam, Bsc Cf",5.5,1,5.5,0.54,Visa 6961,2025-05-01 08:43:00,8,4
6,"5/1/25, 8:43 AM","(5/1/25, 8:36 AM - 8:37 AM)",Iced Shaken Espresso,"Iced, Spl Almond, Cold foam, Bsc Cf",5.5,1,5.5,0.54,Visa 6961,2025-05-01 08:43:00,8,4
7,"5/1/25, 8:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Latte",6.5,1,6.5,0.63,Visa 4780,2025-05-01 08:44:00,8,4
7,"5/1/25, 8:44 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Plain, Plain CC",4.0,1,4.0,0.39,Visa 4780,2025-05-01 08:44:00,8,1
8,"5/1/25, 8:48 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Latte, Caramel, Almond Milk",9.25,1,9.25,0.9,Mastercard 3139,2025-05-01 08:48:00,8,2
8,"5/1/25, 8:48 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel,"1 Bagel, Asiago, No CC",2.5,1,2.5,0.24,Mastercard 3139,2025-05-01 08:48:00,8,1
9,"5/1/25, 8:49 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Everything Bagel, Garlic Herb CC, Vanilla, Chocolate Milano, Smores",9.5,1,9.5,0.93,Visa 7281,2025-05-01 08:49:00,8,2
10,"5/1/25, 8:50 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Vanilla",5.5,1,5.5,0.54,Visa 2948,2025-05-01 08:50:00,8,4
11,"5/1/25, 8:58 AM","(5/1/25, 8:36 AM - 8:37 AM)",Latte,"Iced, Caramel",5.5,1,5.5,0.54,Visa 3248,2025-05-01 08:58:00,8,4
12,"5/1/25, 8:59 AM","(5/1/25, 8:36 AM - 8:37 AM)",S'mores,"Iced, Oat Milk, Latte",7.25,1,7.25,0.71,Mastercard 4808,2025-05-01 08:59:00,8,4
13,"5/1/25, 8:59 AM","(5/1/25, 8:36 AM - 8:37 AM)",White Macadamia,"Iced, Latte",6.5,1,6.5,0.63,Visa 7289,2025-05-01 08:59:00,8,4
14,"5/1/25, 9:02 AM","(5/1/25, 8:36 AM - 8:37 AM)",Landscape,"Iced, Latte",6.5,1,6.5,0.63,Visa 7743,2025-05-01 09:02:00,9,4
15,"5/1/25, 9:03 AM","(5/1/25, 8:36 AM - 8:37 AM)",Mr. Can't Go wrong,Add Garlic Herb Cc,10.5,1,10.5,1.02,Visa 7737,2025-05-01 09:03:00,9,2
15,"5/1/25, 9:03 AM","(5/1/25, 8:36 AM - 8:37 AM)",S'mores,"Iced, Latte",6.5,1,6.5,0.63,Visa 7737,2025-05-01 09:03:00,9,4
16,"5/1/25, 9:08 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Matcha, Landacape, Iced",9.5,1,9.5,0.93,Visa 6298,2025-05-01 09:08:00,9,2
17,"5/1/25, 9:09 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Sesame Bagel, Maple CC, Latte, Vanilla, Sugar Free, Cold Foam, Iced",9.5,1,9.5,0.93,Amex 1151,2025-05-01 09:09:00,9,2
18,"5/1/25, 9:10 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Plain Bagel, Maple CC, Matcha, Strawberry, Iced",9.0,1,9.0,0.88,Visa 5135,2025-05-01 09:10:00,9,2
19,"5/1/25, 9:14 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Cin Sug. Bagel, Maple CC, Latte, Hazelnut, Iced",8.5,1,8.5,0.83,Discover 4989,2025-05-01 09:14:00,9,2
20,"5/1/25, 9:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Matcha,"Iced, Cane",5.5,1,5.5,0.54,Visa 7334,2025-05-01 09:16:00,9,4
21,"5/1/25, 9:16 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Asiago Bagel, Garlic Herb CC, Vanilla",8.5,1,8.5,0.83,Mastercard 7279,2025-05-01 09:16:00,9,2
22,"5/1/25, 9:19 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Matcha, Asiago Bagel, Garlic Herb CC, Cane",9.0,1,9.0,0.88,Visa 2068,2025-05-01 09:19:00,9,2
3,"5/1/25, 8:37 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Chai, Vanilla, Iced",9.0,1,9.0,0.88,Visa 9638,2025-05-01 08:37:00,8,2
4,"5/1/25, 8:39 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Asiago Bagel, Garlic Herb CC, Matcha, Vanilla, 1/3 Sweet, Iced",9.0,1,9.0,0.88,Mastercard 3139,2025-05-01 08:39:00,8,2
5,"5/1/25, 8:42 AM","(5/1/25, 8:36 AM - 8:37 AM)",Bagel Combo,"_, Latte, Cin Sug. Bagel, Plain CC",8.0,1,8.0,0.78,Visa 6469,2025-05-01 08:42:00,8,2
6,"5/1/25, 8:43 AM","(5/1/25, 8:36 AM - 8:37 AM)",Iced Shaken Espresso,"Iced, Spl Almond, Cold foam, Bsc Cf",5.5,1,5.5,0.54,Visa 6961,2025-05-01 08:43:00,8,4
