age,age_group,employed,income,race,household_size,Persona Cluster,Reason
19,18-24,True,20111,Other,1,1,"This person fits the age and income range of the Iced Latte Devotee. They are also employed, suggesting they might use the cafe space for work/study."
23,18-24,False,11403,Other,2,1,"This person fits the age range of the Iced Latte Devotee and is not employed, suggesting they might use the cafe space for leisure or study."
18,18-24,True,19476,Other,1,1,"This person fits the age and income range of the Iced Latte Devotee. They are also employed, suggesting they might use the cafe space for work/study."
32,25-34,True,32260,Other,3,0,"This person fits the age and income range of the Classic Combo Loyalist. They are also employed, suggesting a need for a consistent, quality meal."
31,25-34,False,4868,Other,3,6,"This person fits the age range of the Early Bagel Purist. Their lower income and unemployment status suggest a need for simple, consistent, and affordable meals."
33,25-34,True,36214,White,2,0,"This person fits the age and income range of the Classic Combo Loyalist. They are also employed, suggesting a need for a consistent, quality meal."
24,18-24,True,19111,Other,3,1,"This person fits the age and income range of the Iced Latte Devotee. They are also employed, suggesting they might use the cafe space for work/study."
27,25-34,True,40952,White,1,3,"This person fits the age and income range of the Morning Latte Regular. They are also employed, suggesting a need for a quick grab-and-go coffee to start their day."
24,18-24,False,6396,Other,1,1,"This person fits the age range of the Iced Latte Devotee and is not employed, suggesting they might use the cafe space for leisure or study."
20,18-24,False,3514,Black,1,1,"This person fits the age range of the Iced Latte Devotee and is not employed, suggesting they might use the cafe space for leisure or study."
28,25-34,True,23968,Other,1,1,This person falls into the age range and income bracket of the Iced Latte Devotee. They are employed and likely to use the café space for work or study.
31,25-34,True,28926,White,1,0,This person's age and income align with the Classic Combo Loyalist. They may appreciate the quality and routine of a midday bagel combo.
25,25-34,True,22617,Other,1,1,"This person's age and income align with the Iced Latte Devotee. They are likely to be a student or freelancer who values quick, aesthetic drinks."
69,65+,False,12300,Other,2,6,"Despite the age difference, this person's income and employment status align with the Early Bagel Purist. They may value simplicity and consistency."
28,25-34,True,35094,Asian,3,5,This person's age and income align with the Matcha Minimalist. They may value clean ingredients and alternative milk options.
50,35-64,True,35479,Other,2,6,This person's age and income align with the Early Bagel Purist. They may value consistency and simplicity in their morning routine.
82,65+,False,9420,Other,1,6,"Despite the age difference, this person's income and employment status align with the Early Bagel Purist. They may value simplicity and consistency."
33,25-34,True,35472,Other,4,2,"This person's age and income align with the Power Snacker. They may be ordering for multiple people and value fast, filling options."
54,35-64,False,9959,Other,2,6,This person's income and employment status align with the Early Bagel Purist. They may value simplicity and consistency in their morning routine.
82,65+,False,11308,Asian,5,6,"Despite the age difference, this person's income and employment status align with the Early Bagel Purist. They may value simplicity and consistency."
21,18-24,True,26715,Other,2,1,"This person falls into the age range and income bracket of the Iced Latte Devotee, who are often students or freelancers."
30,25-34,True,36105,Other,3,2,"This person's age and income align with the Power Snacker, who are often heavy lunch orderers, possibly ordering for multiple people."
28,25-34,True,31334,Other,4,0,"This person's age and income align with the Classic Combo Loyalist, who are midday regulars ordering Bagel Combos with flavorful modifiers."
29,25-34,True,25821,Asian,2,3,"This person's age and income align with the Morning Latte Regular, who are in-and-out loyalists who start the day with coffee."
48,35-64,True,29013,Asian,3,6,"This person's age and income align with the Early Bagel Purist, who are early-morning, fast-service loyalists with no frills."
23,18-24,False,8913,Other,2,1,"This person's age aligns with the Iced Latte Devotee, who are often students or freelancers."
28,25-34,True,31626,White,2,0,"This person's age and income align with the Classic Combo Loyalist, who are midday regulars ordering Bagel Combos with flavorful modifiers."
18,18-24,False,3497,White,1,1,"This person's age aligns with the Iced Latte Devotee, who are often students or freelancers."
35,35-64,False,9648,White,1,6,"This person's age aligns with the Early Bagel Purist, who are early-morning, fast-service loyalists with no frills."
27,25-34,True,30106,Black,2,3,"This person's age and income align with the Morning Latte Regular, who are in-and-out loyalists who start the day with coffee."
22,18-24,True,16857,Black,1,1,This person matches the age and income range of the Iced Latte Devotee. They are employed and likely to be a student or freelancer.
22,18-24,True,24158,White,2,4,This person fits the age and income range of the Afternoon Refresher. They are likely to be looking for a place to relax in the afternoon.
24,18-24,False,8686,White,1,1,"This person is in the age range of the Iced Latte Devotee and likely to be a student or freelancer, even though their income is lower."
38,35-64,True,35012,Other,3,2,This person matches the age and income range of the Power Snacker. They are likely to be a small business or hospital worker.
26,25-34,True,21335,Other,2,1,This person fits the age and income range of the Iced Latte Devotee. They are likely to be a student or freelancer.
83,65+,False,11690,Asian,3,6,"This person does not fit any of the age or income ranges, but the Early Bagel Purist is the closest match due to their simple needs."
33,25-34,True,33706,Other,2,0,This person matches the age and income range of the Classic Combo Loyalist. They are likely to be a grad student or staff.
25,25-34,True,33444,Black,3,5,This person fits the age and income range of the Matcha Minimalist. They are likely to be a student-athlete or influencer.
33,25-34,True,12803,White,4,6,"This person fits the age range of the Early Bagel Purist. They are likely to be a labor, delivery, or maintenance worker."
62,35-64,True,11451,Black,4,6,"This person does not fit any of the age or income ranges, but the Early Bagel Purist is the closest match due to their simple needs."
44,35-64,False,14429,White,3,1,"This person's income and employment status align with the Iced Latte Devotee persona, who are often students or freelancers with a lower income."
26,25-34,True,30579,Black,2,1,"This person's age, income, and employment status align with the Iced Latte Devotee persona, who are often students or freelancers with a lower income."
63,35-64,True,32778,Other,2,6,"This person's age and income align with the Early Bagel Purist persona, who are typically older and have a lower income."
27,25-34,True,28880,White,2,3,"This person's age, income, and employment status align with the Morning Latte Regular persona, who are typically employed individuals in their late 20s to mid 30s."
21,18-24,False,4687,Asian,2,1,"This person's age and income align with the Iced Latte Devotee persona, who are often students or freelancers with a lower income."
18,18-24,False,10284,Other,2,1,"This person's age and income align with the Iced Latte Devotee persona, who are often students or freelancers with a lower income."
29,25-34,True,31520,Black,5,0,"This person's age and income align with the Classic Combo Loyalist persona, who are typically employed individuals in their late 20s to mid 30s."
